0.4, 0, 14.2
0.7, 0.6, 32.4
1.2, 0.2, 16.7
4, 0, 34.2
0.8, 0.2, 30.2
0.7, 1.1, 25.9
0.9, 0.5, 20.8
0.8, 0.1, 27.2
1.1, 1.9, 25.5
0.4, 0.1, 10.5
0.8, 1.4, 34.5
2, 1.7, 35.5
0.7, 0.2, 18.8
0.3, 0.1, 14.3
1.3, 0.7, 33
0.4, 0.1, 12.9
0.1, 0.5, 17.4
0.7, 1, 21.6
2, 1, 28.3
1.2, 0, 36.1
1.1, 0.6, 34.7
0.4, 0.2, 29.3
0.8, 0.1, 19.2
0.1, 0.9, 12.6
1.7, 0.4, 31.2
0, 0, 6.2
0.6, 0.8, 35.5
1.3, 0.1, 25.3
0.8, 1.3, 24.6
0.4, 0.1, 12.5
1, 2, 36.9
1.7, 0.1, 23.9
0, 0.5, 30.6
1.1, 0.4, 35
0.1, 1.1, 15.1
0.5, 0.2, 14.7
1.6, 0.9, 34.2
1.1, 0.7, 31.4
0.7, 0.3, 27.4
1.6, 0.3, 25.3
1.5, 0.5, 21.9
0.3, 0.2, 18.6
1.4, 1, 35.8
0.7, 0.1, 17.7
0.3, 0, 5.2
0.3, 0, 18.3
0.9, 0.1, 18.7
0.6, 1, 12.7
0, 0, 3.8
0.4, 0.4, 14.8
0.4, 0.2, 30.1
0.9, 0.5, 34.9
1.8, 0.4, 20.8
0.6, 0, 24.3
0.4, 1.1, 28.1
0.9, 0.6, 36.1
1, 0.5, 28.8
1, 0, 16.2
1.3, 0.5, 25.7
1.2, 0.8, 24.3
0.4, 1, 29.9
0.4, 0.6, 11.7
0.9, 0.8, 27.6
1.2, 1.2, 25.1
0.9, 0.2, 34.5
0.1, 0.1, 10.6
0.2, 0.2, 20.3
1.1, 1, 27.7
0.4, 0.2, 17.3
0.5, 0.4, 18.3
0.6, 0.6, 19.7
0.7, 0, 10.3
0, 0.8, 7
0.1, 0.2, 14.9
0.6, 0.5, 20.2
0.9, 0.1, 30.1
0.5, 0, 9.4
1.6, 0.3, 28.5
0, 1, 7.3
0.6, 1.2, 21.1
0, 0, 5.5
0.5, 0.5, 22.1
0.8, 0.6, 20.9
2.2, 1.6, 32
0.4, 0.4, 12.7
0.7, 0.1, 29.1
0.6, 0.1, 32.2
0.8, 0.8, 27.3
1.3, 0.7, 29.9
1, 1, 27.4
0.3, 0.7, 11.3
1.3, 0.3, 30.6
0.4, 0, 17.1
0.3, 0.3, 21.8
0.9, 0.5, 28.4
0.5, 0, 15.6
1.4, 0.1, 34
1.1, 0, 21.4
0, 0, 6.5
1.2, 0.5, 31.7
1, 0.8, 27.7
0.6, 0.1, 21.6
0.6, 2.5, 32.4
1.9, 0.4, 31.2
1.9, 3.6, 33.7
0.8, 0.2, 21.2
0.8, 0.6, 19.8
0.2, 0, 5.6
2.3, 0, 33.2
0, 0, 6.1
0.6, 0, 24.7
0.4, 0.6, 20.1
1.2, 0.8, 30.1
0.7, 0, 13.4
0.3, 0, 18.4
0.9, 0.3, 29.3
0.3, 0.2, 17.4
0.5, 0.4, 31.1
0.8, 0.1, 19
0, 1, 6.4
2.6, 0.2, 28.5
1.7, 0.3, 33.8
0.4, 0, 12.4
0.1, 2.2, 29.8
1, 0.3, 34.5
0.7, 0.1, 18.8
1, 1.1, 21.3
1.8, 0.2, 26.2
0.5, 1.5, 22.1
2.1, 1.1, 34.5
0.4, 2.4, 29.4
1.6, 0, 33.1
0.4, 0.4, 7.7
0.4, 0.2, 14.6
0.3, 1.3, 15.1
0.3, 0.5, 7.7
0.8, 0.2, 24.5
0.7, 0.1, 26.8
0.3, 1.4, 30
0, 0, 17.8
0.9, 0, 30.1
